msg_type,Available in message queue,Description
80000713,"0, 2, 5, 7","End of work, driver indicated"
80000714,"0, 2, 5, 7","Begin of break, driver indicated"
80000715,"0, 2, 5, 7","End of break, driver indicated"
80000716,"0, 2, 5, 7","Work status change, indicating driver role, old and new work status (applies to all PRO 71xx, 91xx devices when used with identified driver and Remote LINK Working Time)"
80000717,"0, 2, 5, 7",Work started (driver role and driver name indicated)
80000718,"0, 2, 5, 7",Work ended (driver role and driver name indicated)
80000719,"0, 2, 5, 7","Work time event, indicating driver"
80000750,"0, 2, 5, 7",Message read
80000751,"0, 2, 5, 7",Destination reached
80000752,"0, 2, 5, 7",Navigation started (destination indicated)
80000753,"0, 2, 5, 7",Navigation cancelled
80000754,"0, 2, 5, 7",Message received
80000755,"0, 2, 5, 7",Message discarded
80000756,"0, 2, 5, 7",Connection established to device
80000770,"0, 2, 5, 7",Digital tachograph connected
80000771,"0, 2, 5, 7",Digital tachograph disconnected
80000772,"0, 2, 5, 7",Device signals disconnection of unknown digital tachograph
80000773,"0, 2, 5, 7",Tachograph driver card not assigned to driver
80000774,"0, 2, 5, 7","Digital tachograph card (company card, workshop card, control card) inserted into digital tachograph"
80000775,"0, 2, 5, 7","Digital tachograph card (company card, workshop card, control card) removed from digital tachograph"
80000776,"0, 2, 5, 7",Time difference between digital tachograph and LINK device
80000777,"0, 2, 5, 7",Working state changed for digital tachograph card that is not assigned to a driver in Webfleet
80000778,"0, 2, 5, 7",Driving without appropriate card started
80000779,"0, 2, 5, 7",Driving without appropriate card ended
80000780,"0, 2, 5, 7",Remote LINK is paired
80000781,"0, 2, 5, 7",Remote LINK low battery (specific to LINK 5xx/4xx/3xx)
80000782,"0, 2, 5, 7",Driver logon
80000783,"0, 2, 5, 7",Unknown driver logon
80000784,"0, 2, 5, 7",Driver logoff
80000785,"0, 2, 5, 7",Unknown driver logoff
80000786,"0, 2, 5, 7",Working time event of driver
80000787,"0, 2, 5, 7",Working time event of unknown employee
80000788,"0, 2, 5, 7",Remote LINK pairing rejected as not supported by subscription
80000789,"0, 2, 5, 7",Remote LINK battery replaced
80000790,"0, 2, 5, 7",Remote LINK setup request per installation tool
80000791,"0, 2, 5, 7",Remote LINK setup response for installation tool
80000792,"0, 2, 5, 7",Remote LINK pairing rejected as there is already another device paired
80000800,"0, 2, 5, 7",ecoPLUS paired (specific to LINK 5xx/4xx/3xx)
80000801,"0, 2, 5, 7",ecoPLUS pairing rejected as not supported by subscription
80000802,"0, 2, 5, 7",ecoPLUS pairing rejected as there is already another device assigned (specific to LINK 5xx/4xx/3xx)
80000805,"0, 2, 5, 7",ecoPLUS power status (specific to LINK 5xx/4xx/3xx)
80000806,"0, 2, 5, 7",ecoPLUS fuel type changed (specific to LINK 5xx/4xx/3xx)
80000807,"0, 2, 5, 7",ecoPLUS connection lost (specific to LINK 5xx/4xx/3xx)
80000808,"0, 2, 5, 7",ecoPLUS plugged into vehicle (specific to LINK 5xx/4xx/3xx)
80000809,"0, 2, 5, 7",ecoPLUS power reconnected
80000810,"0, 2, 5, 7",Crash sensor triggered
80000811,"0, 2, 5, 7",Acceleration event
80000820,"0, 2, 5, 7",Fuel level in the fuel tank decreased during driving
80000821,"0, 2, 5, 7",Unexpected fuel loss - Significant drop of fuel level in the fuel tank detected
80000822,"0, 2, 5, 7",Refuelled vehicle - Significant increase of fuel level in the fuel tank detected
80000830,"0, 2, 5, 7",Fuel level in fuel tank is low
80000840,"0, 2, 5, 7",FMS connected
80000841,"0, 2, 5, 7",FMS disconnected (specific to LINK 510/710)
80000860,"0, 2, 5, 7, 15","Mobile-terminated - LINK.connect/Binary message was sent to LINK/device. This message contains an outgoing actual opaque payload message. The payload is not repeated as the integration server backend has previously sent it. Integrations have to store this message when following up on the delivery status of outbound opaque payload to a device."
80000861,"0, 2, 5, 7, 15","Mobile-originated - Status response for aux_device_data_out/app_device_data_out. This message acknowledges device data sent from the integration server backend to an device. After using sendAuxDeviceData/sendBinaryMessage the integrator should wait for this acknowledge message to come through on the Queue Service and check the status of the opaque payload data sent out. Before this acknowledge message is received back from the device by Webfleet/integration server backend, all further calls to sendAuxDeviceData/sendBinaryMessage will be rejected by Webfleet with a specific error message, as it is assumed that the previous opaque payload transmission is still in progress. JSON structures in surplus_data: aux_device_data_out_status/app_data_out_status, aux_device_data_quota/app_data_quota, aux_device_data_reference/app_data_reference"
80000862,"0, 2, 5, 7, 15","Mobile-originated - Contains the payload that was sent by the device. This message contains incoming actual opaque payload data from a device. Integrations have to store this data as there is no other way for the integration server backend to retrieve the opaque payload data. JSON structures in surplus_data: aux_device_data_in/app_data_in, aux_device_data_quota/app_data_quota, aux_device_data_reference/app_data_reference"
80000863,"0, 2, 5, 7, 15","Mobile-terminated - Response sent to the device after receiving third party data. This message acknowledges data received from the device. Integrations can use this message for tracking the message flow. JSON structures in surplus_data: aux_device_data_status/app_data_status, aux_device_data_reference/app_data_reference"
80000864,"0, 2, 5, 7, 15",Mobile-originated/mobile-terminated - Control message. This is a multi-purpose control message sent to the device or received from the device.
80000880,"0, 2, 5, 7","List of current vehicle Diagnostic Trouble Codes has changed. JSON structure in surplus_data: troublecodes"
80000913,"0, 2, 5, 7",LINK 105 pairing rejected (there is already another device assigned)
80000914,"0, 2, 5, 7",LINK 105 paired
80000915,"0, 2, 5, 7",LINK 105 pairing rejected (not supported by subscription)
80000916,"0, 2, 5, 7",LINK 105 setup response for installation tool
80000917,"0, 2, 5, 7",LINK 105 setup request via installation tool
80000918,"0, 2, 5, 7",LINK 105 connection lost
80000919,"0, 2, 5, 7",LINK 105 connection re-established
80000927,"0, 2, 5, 7",Service token request/response message
80000930,"0, 2",generic CAN data
80000934,"0, 2",Vehicle battery voltage measurement
80000945,"0, 2, 5, 7",Driver/worker worktime event (specific to PRO 2020)
80000946,"0, 2, 5, 7",Driver key signals driver logon but driver is undefined because key value is unknown or not assigned
80000947,"0, 2, 5, 7",Driver key signals driver logoff but driver is undefined because key value is unknown or not assigned
80000948,"0, 2, 5, 7",Driver key signals driver logoff
80000949,"0, 2, 5, 7",Driver key signals driver logon
80000950,"0, 2, 5, 7",Driver key signals driver logoff but driver is not assigned to this unit
80000971,"0, 2",Signals a door's state has changed
80000981,"0, 2, 5, 7",Number of days driven in roaming area
80000982,"0, 2, 5, 7",Exceeded maximum days driven in roaming area
80001000,"0, 2",Device Update: Network check request
80001001,"0, 2",Device Update: Network check response
80001002,"0, 2",Device Update: Key request
80001003,"0, 2",Device Update: Key response
80001004,"0, 2",Device Update: Start
80001005,"0, 2",Device Update: Result
80001006,"0, 2",Device Update: Progress
80001040,"0, 2, 5, 7",Driver key signals driver logon but driver is undefined because key value is unknown or not assigned
80001041,"0, 2, 5, 7",Driver key signals driver logoff but driver is undefined because key value is unknown or not assigned
80001042,"0, 2, 5, 7",Driver key signals driver logoff
80001043,"0, 2, 5, 7",Driver key signals driver logon
80001044,"0, 2, 5, 7",Driver key signals driver logoff but driver is not assigned to this unit
80001045,"0, 2",Driver Key Identification 2: Driver Key Identification Result
80001046,"0, 2",Driver Key Identification 2: Driver logon rejected
80001050,"0, 2",Device reports periodic eco data without trips
80001051,"0, 2","Device reports periodic eco data without trips, fuel information missing or invalid"
80001060,"0, 2",Vehicle Data Reporting: Announcement of available data items
80001061,"0, 2, 5, 7",Vehicle Data Reporting: Cruise control switched on
80001062,"0, 2, 5, 7",Vehicle Data Reporting: Cruise control switched off
80001064,"0, 2, 5, 7",Vehicle Data Reporting: Engine switched on
80001065,"0, 2, 5, 7",Vehicle Data Reporting: Engine switched off
80001066,"0, 2",Contains the length of the engine on interval
80001067,"0, 2","Contains the length of the engine on interval, but no total engine hours data"
80001068,"0, 2","Contains the length of the engine on interval, but no fuel related data"
80001069,"0, 2","Contains the length of the engine on interval, but no fuel and no total engine hour related data"
80001080,"0, 2",Driver key list request
80001081,"0, 2",Driver key list
80001091,"0, 2",Tire status changed message
80001092,"0, 2",Tire status request
80001093,"0, 2",External tire issue
80001100,"0, 2",Exhaust fluid warning
80001200,"0, 2, 5, 7",Engine oil temperature too high
80001201,"0, 2, 5, 7",Engine coolant temperature too high
81100700,"0, 2, 5, 7","Event message, status"
81100703,"0, 2, 5, 7",Status log - no data available
81100704,"0, 2, 5, 7",Request status log - error
81100751,"0, 2, 5, 7",Odometer manual input
81100760,"0, 2, 5, 7",Arriving at customer (specific to LINK classic)
81100761,"0, 2, 5, 7",Departing from customer (specific to LINK classic)
81100763,"0, 2, 5, 7",Trip begin (specific to LINK classic)
81100764,"0, 2, 5, 7",Trip end (specific to LINK classic)
81100765,"0, 2, 5, 7",Begin waiting
81100766,"0, 2, 5, 7",End waiting
90000550,"0, 2",Query for status of the external GPS antenna (outbound) (specific to LINK 510/710)
90000801,"0, 2",Configuration acknowledge (specific to LINK classic)
90000808,"0, 2",Firmware release information
90000811,"0, 2",Reset unit - ok
90000814,"0, 2",CAN configuration request
90000815,"0, 2",CAN config
90000816,"0, 2",CAN config acknowledge
90000826,"0, 2",Device successfully activated
90000827,"0, 2",Device has been reset
90000843,"0, 2","PRO 5150 activation request. This message is created when a TomTom PRO 5150 that is not yet connected to Webfleet pairs with a LINK device for the first time and requests for the additional service PRO 5150 Webfleet compatibility upgrade."
90000847,"0, 2",Set initial engine hours
90000848,"0, 2","Setting of engine hours is rejected, the LINK has another source for the total engine hours"
90000849,"0, 2",Acknowledgment to set initial hours
90000912,"0, 2",Reset LINK 105
90000990,"0, 2",CAN3 configuration request
90000991,"0, 2",CAN3 config announcement
90000992,"0, 2",CAN3 signals config
90000993,"0, 2",CAN3 trigger config
90000994,"0, 2",CAN3 signals config acknowledge
90000995,"0, 2",CAN3 trigger config acknowledge
90001010,"0, 2",CAN bus installation: Device request to store its configuration
90001011,"0, 2",CAN bus installation: Set response
91100802,"0, 2",For LINK classic: Configuration acknowledge - error (specific to LINK classic)
91100803,"0, 2",Version information (specific to LINK classic)
91100806,"0, 2",Version information - error (specific to LINK classic)
91100841,"0, 2",Device reset completed
91100842,"0, 2",Device reset error
91100871,"0, 2",Odometer change acknowledged
91100872,"0, 2",Odometer change error
91100874,"0, 2",Odometer function disabled
91100876,"0, 2",Odometer
91100877,"0, 2",Odometer query - error
91100878,"0, 2",Odometer query - error due to private mode
91100879,"0, 2",Odometer change not allowed as a digital tachograph is connected
91100881,"0, 2",Ignition time counter set to ignition on time and duration
91100882,"0, 2",Set ignition time counter - error
91100884,"0, 2",Ignition time counter disabled
91100886,"0, 2",Ignition time counter is ignition on time and duration
91100887,"0, 2",Query ignition time counter - error
91100888,"0, 2",Query ignition time counter - error (private mode)
101100550,"0, 2","Trip distance, duration, idling information, maximum speed, average speed, GPS coverage"
101100551,"0, 2",This message is delivered when either no GPS signal or partly no GPS signal was available during the trip.
101100552,"0, 2",Minor vehicle action (gives a summary of fuel usage and distance that do not qualify as a trip)
101100554,"0, 2","Trip, distance, duration, idling information, fuel usage, maximum speed, GPS coverage"
106010550,"0, 2","Trip distance, duration, idling information, maximum speed, average speed, GPS coverage"
106010551,"0, 2",This message is delivered when either no GPS signal or partly no GPS signal was available during the trip.
106010552,"0, 2",Minor vehicle action (gives a summary of fuel usage and distance that do not qualify as a trip)
110000729,"0, 2, 4",Order sent (outbound)
110000730,"0, 2, 4",Order accepted
110000731,"0, 2, 4",Order rejected
110000732,"0, 2, 4",Order started
110000733,"0, 2, 4",Order completed
110000734,"0, 2, 4",Order cancelled
110000735,"0, 2, 4",Order modified (outbound)
110000736,"0, 2, 4",Cancel order (outbound)
110000737,"0, 2, 4",Order deleted (outbound)
110000738,"0, 2, 4",All orders deleted (outbound)
110000760,"0, 2, 4",Order state
110000761,"0, 2, 4",Estimated time of arrival to order destination
110000762,"0, 2, 4",Time left until order destination is reached
110000763,"0, 2, 4",Estimated time of arrival without order information
110000764,"0, 2, 4",List of invalid order waypoints
110000765,"0, 2, 4",Appended order waypoints
110000766,"0, 2, 4",Estimated time of arrival without distance to destination information
110000767,"0, 2, 4",Estimated time of arrival without order and without distance information
111100730,"0, 2, 4",Order accepted
111100731,"0, 2, 4",Order rejected
111100732,"0, 2, 4",Order started
111100733,"0, 2, 4",Order completed
111100734,"0, 2, 4",Order cancelled
111100735,"0, 2, 4",Arrived at loading site (specific to LINK classic)
111100736,"0, 2, 4",Begin loading (specific to LINK classic)
111100737,"0, 2, 4",End loading (specific to LINK classic)
111100738,"0, 2, 4",Departure from loading site (specific to LINK classic)
111100739,"0, 2, 4",Arrival at unloading site
111100741,"0, 2, 4",End unloading
111100742,"0, 2, 4",Departure from unloading site
111100743,"0, 2, 4",Delay announcement indicating time
111100744,"0, 2, 4",Begin waiting
111100745,"0, 2, 4",End waiting
111100746,"0, 2, 4","Additional costs (type, amount, currency)"
111100747,"0, 2, 4",Arriving at depot
111100749,"0, 2, 4",Statustext
